sku;name;images;video;stock_a;stock_a_days;stock_b;stock_b_days;stock_c;stock_c_days;pvd_old;pvd;pvd_dif;pvr_old;pvr;pvr_dif;category
S7786592;Smartphone S23 Ultra Samsung SM-S911B 8 GB RAM 6,8\" 256 GB;https://cdnbigbuy.com/images/8806094915624_I20.jpg;-;1;1;0;5;0;1;1,237.71;1,129.56;8.74%;1,316.71;1,201.66;8.74%;
S0454653;Smartphone Motorola PAY40045SE 6,55\" 256 GB 8 GB RAM Magenta;https://cdnbigbuy.com/images/S0454653_0840023247453_P01.jpg;-;2;1;0;5;0;1;454.85;425.74;6.40%;483.88;452.91;6.40%;
S7719756;PDA with 1D + 2D Reader Zebra TC520K-1XFMU6P-A6;https://cdnbigbuy.com/images/5704174246381_S7719756_P10.jpg;-;0;1;0;5;2;1;-;1,304.47;0.00%;-;1,387.73;0.00%;
S7798664;Smartphone iPhone 15 Plus Apple MU1P3QL/A 6,7\" 512 GB 8 GB RAM Blue;https://cdnbigbuy.com/images/0195949043000_I00.jpg;-;0;1;0;5;5;1;-;1,169.63;0.00%;-;1,244.29;0.00%;
S5624914;Smartphone Apple MTV63QL/A 256 GB;https://cdnbigbuy.com/images/0195949019760_S5624914_P00.jpg;-;0;1;0;5;2;1;-;1,026.98;0.00%;-;1,104.28;0.00%;
S0454228;Smartphone Cubot NOTE 40 6,56\" 256 GB 6 GB RAM Black;https://cdnbigbuy.com/images/6924136719701_S0454228_P00.jpg;-;0;1;0;5;8;1;-;106.77;0.00%;-;113.59;0.00%;
S7798663;Smartphone iPhone 15 Plus Apple MU1M3QL/A 6,7\" 512 GB 8 GB RAM Yellow;https://cdnbigbuy.com/images/0195949042829_I00.jpg;-;0;1;0;5;8;1;-;1,169.63;0.00%;-;1,244.29;0.00%;
S7609342;Smartphone Samsung S24 ULTRA VIOLE 256 GB 12 GB RAM Violet;https://cdnbigbuy.com/images/8806095308920_I20.jpg;-;0;1;0;5;12;1;-;1,235.59;0.00%;-;1,314.46;0.00%;
S0456993;Smartphone Motorola EDGE 50 PRO 6,67\" 12 GB RAM 512 GB Blue;https://cdnbigbuy.com/images/0840023257506_S0456993_P00.jpg;-;0;1;0;5;25;1;-;531.98;0.00%;-;559.98;0.00%;
S9911311;Smartphone Apple iPhone 12 6,1\" Hexa Core 4 GB RAM 64 GB Green;https://cdnbigbuy.com/images/0194252030721_S9911311_P10.jpg;-;0;1;0;5;2;1;-;461.78;0.00%;-;496.54;0.00%;
S7609151;Smartphone Samsung S23FE CREAM 8 GB RAM 256 GB Cream;https://cdnbigbuy.com/images/8806095136967_S7609151_P00.jpg;-;0;1;0;5;1;1;-;651.95;0.00%;-;693.56;0.00%;
S77183432;Smartphone Samsung GALAXY S22 6,1\" 8 GB RAM 128 GB (Refurbished A);https://cdnbigbuy.com/images/S77183432_SAREA033_s77_p00.jpg;-;0;1;0;5;5;1;-;481.76;0.00%;-;518.02;0.00%;
S0239947;Smartphone Xiaomi MZB0DLZEU 6,67\" Snapdragon 4 GB RAM 128 GB Grey;https://cdnbigbuy.com/images/6941812716922_S0239947_P00.jpg;-;2;1;0;5;0;1;-;125.39;0.00%;-;136.29;0.00%;
