Weight;AD(Andorra);AE(United Arab Emirates);AF(Afghanistan);AG(Antigua and Barbuda);AI(Anguilla);AL(Albania);AM(Armenia);AO(Angola);AR(Argentina);AS(American Samoa);AT(Austria);AU(Australia);AW(Aruba);AZ(Azerbaijan);BA(Bosnia and Herzegovina);BB(Barbados);BD(Bangladesh);BE(Belgium);BF(Burkina Faso);BG(Bulgaria);BH(Bahrain);BI(Burundi);BJ(Benin);BL(Saint Barthelemy);BM(Bermuda);BN(Brunei);BO(Bolivia);BR(Brazil);BS(Bahamas);BT(Bhutan);BW(Botswana);BY(Belarus);BZ(Belize);CA(Canada);CD(Congo, Dem. Republic);CF(Central African Republic);CG(Congo, Republic);CH(Switzerland);CI(Ivory Coast);CK(Cook Islands);CL(Chile);CM(Cameroon);CN(China);CO(Colombia);CR(Costa Rica);CU(Cuba);CV(Cape Verde);CY(Cyprus);CZ(Czech Republic);DE(Germany);DJ(Djibouti);DK(Denmark);DM(Dominica);DO(Dominican Republic);DZ(Algeria);EC(Ecuador);EE(Estonia);EG(Egypt);ER(Eritrea);ES(Spain);ET(Ethiopia);FI(Finland);FJ(Fiji);FM(Micronesia);FO(Faroe Islands);FR(France);GA(Gabon);GB(United Kingdom);GD(Grenada);GE(Georgia);GF(French Guiana);GG(Guernsey);GH(Ghana);GI(Gibraltar);GL(Greenland);GM(Gambia);GN(Guinea);GP(Guadeloupe);GQ(Equatorial Guinea);GR(Greece);GT(Guatemala);GU(Guam);GW(Guinea-Bissau);GY(Guyana);HK(HongKong);HN(Honduras);HR(Croatia);HT(Haiti);HU(Hungary);ID(Indonesia);IE(Ireland);IL(Israel);IN(India);IQ(Iraq);IR(Iran);IS(Iceland);IT(Italy);JE(Jersey);JM(Jamaica);JO(Jordan);JP(Japan);KE(Kenya);KG(Kyrgyzstan);KH(Cambodia);KI(Kiribati);KM(Comoros);KR(South Korea);KW(Kuwait);KY(Cayman Islands);KZ(Kazakhstan);LA(Laos);LB(Lebanon);LC(Saint Lucia);LI(Liechtenstein);LK(Sri Lanka);LR(Liberia);LS(Lesotho);LT(Lithuania);LU(Luxemburg);LV(Latvia);LY(Libya);MA(Morocco);MC(Monaco);MD(Moldova);ME(Montenegro);MF(Saint Martin);MG(Madagascar);MH(Marshall Islands);MK(Macedonia);ML(Mali);MM(Burma (Myanmar));MN(Mongolia);MO(Macau);MP(Northern Mariana Islands);MQ(Martinique);MR(Mauritania);MS(Montserrat);MT(Malta);MU(Mauritius);MV(Maldives);MW(Malawi);MX(Mexico);MY(Malaysia);MZ(Mozambique);NA(Namibia);NC(New Caledonia);NE(Niger);NG(Nigeria);NI(Nicaragua);NL(Netherlands);NO(Norway);NP(Nepal);NR(Nauru);NU(Niue);NZ(New Zealand);OM(Oman);PA(Panama);PE(Peru);PF(French Polynesia);PG(Papua New Guinea);PH(Philippines);PK(Pakistan);PL(Poland);PR(Puerto Rico);PS(Palestinian Territories);PT(Portugal);PW(Palau);PY(Paraguay);QA(Qatar);RE(Reunion Island);RO(Romania);RS(Serbia);RU(Russian Federation);RW(Rwanda);SA(Saudi Arabia);SB(Solomon Islands);SC(Seychelles);SD(Sudan);SE(Sweden);SG(Singapore);SI(Slovenia);SK(Slovakia);SL(Sierra Leone);SM(San Marino);SN(Senegal);SO(Somalia);SR(Suriname);ST(São Tomé and Príncipe);SV(El Salvador);SY(Syria);SZ(Swaziland);TC(Turks and Caicos Islands);TD(Chad);TG(Togo);TH(Thailand);TJ(Tajikistan);TL(East Timor);TM(Turkmenistan);TN(Tunisia);TO(Tonga);TR(Turkey);TT(Trinidad and Tobago);TV(Tuvalu);TW(Taiwan);TZ(Tanzania);UA(Ukraine);UG(Uganda);US(United States);UY(Uruguay);UZ(Uzbekistan);VC(Saint Vincent and the Grenadines);VE(Venezuela);VG(Virgin Islands (British));VI(Virgin Islands (U.S.));VN(Vietnam);VU(Vanuatu);WF(Wallis and Futuna);WS(Samoa);YE(Yemen);YT(Mayotte);ZA(South Africa);ZM(Zambia);ZW(Zimbabwe) 
456;256.57;2776.79;3463.36;3118.5;3118.5;416.87;416.87;3463.36;2946.1;3463.36;267.92;3463.36;3118.5;416.87;416.87;3118.5;3118.5;235.01;3463.36;416.87;3463.36;3463.36;3463.36;3463.36;3118.5;3118.5;3118.5;2946.1;3118.5;3463.36;3463.36;416.87;3118.5;2041.6;3463.36;4376.3;3463.36;319.2;3463.36;3118.5;2946.1;3463.36;3118.5;3118.5;3118.5;3118.5;3463.36;380.98;316.01;267.92;4875.8;319.2;3118.5;3118.5;3463.36;3118.5;378.25;3463.36;3463.36;154.91;3463.36;380.98;3463.36;3463.36;416.87;256.57;3463.36;267.92;3118.5;416.87;3463.36;995.79;3463.36;208.49;2041.6;3463.36;3463.36;3118.5;3463.36;380.98;3118.5;3118.5;3463.36;3463.36;3118.5;3118.5;377.75;3118.5;342;3118.5;323.76;3463.36;3118.5;3463.36;3463.36;380.98;267.92;264.48;3118.5;3463.36;3118.5;3463.36;3463.36;4875.8;3463.36;4875.8;3118.5;3463.36;3118.5;2868;3463.36;3463.36;3463.36;320.8;3118.5;3463.36;3463.36;375.47;221.37;378.25;3463.36;416.87;300.96;416.87;416.87;3463.36;3463.36;3463.36;416.87;3463.36;3118.5;3463.36;3373.6;3463.36;3118.5;3463.36;3118.5;380.98;3463.36;3463.36;3463.36;2041.6;3118.5;3463.36;3463.36;3118.5;3463.36;3463.36;3118.5;256.57;380.98;3463.36;3118.5;5370.33;3463.36;3463.36;3118.5;3118.5;3463.36;3463.36;3118.5;3463.36;314.64;2041.6;3463.36;174.52;3463.36;3118.5;3463.36;3463.36;416.87;416.87;2868;3463.36;3463.36;3118.5;3463.36;3463.36;380.98;3118.5;325.2;342;3463.36;416.87;3463.36;5635.96;3118.5;3463.36;3118.5;3512.9;3463.36;3118.5;3463.36;3463.36;3118.5;3118.5;3463.36;4875.8;3463.36;3463.36;416.87;3118.5;3463.36;3118.5;3463.36;416.87;4875.8;1448.8;3118.5;2868;3463.36;3118.5;3118.5;3118.5;3118.5;4875.8;3463.36;3463.36;3463.36;3463.36;3463.36;3463.36;3463.36
457;256.57;2776.79;3463.36;3118.5;3118.5;416.87;416.87;3463.36;2946.1;3463.36;267.92;3463.36;3118.5;416.87;416.87;3118.5;3118.5;235.01;3463.36;416.87;3463.36;3463.36;3463.36;3463.36;3118.5;3118.5;3118.5;2946.1;3118.5;3463.36;3463.36;416.87;3118.5;2046;3463.36;4384.98;3463.36;319.9;3463.36;3118.5;2946.1;3463.36;3118.5;3118.5;3118.5;3118.5;3463.36;380.98;316.7;267.92;4885.42;319.9;3118.5;3118.5;3463.36;3118.5;379.08;3463.36;3463.36;155.25;3463.36;380.98;3463.36;3463.36;416.87;256.57;3463.36;267.92;3118.5;416.87;3463.36;997.74;3463.36;208.49;2046;3463.36;3463.36;3118.5;3463.36;380.98;3118.5;3118.5;3463.36;3463.36;3118.5;3118.5;377.75;3118.5;342.75;3118.5;324.47;3463.36;3118.5;3463.36;3463.36;380.98;267.92;265.06;3118.5;3463.36;3118.5;3463.36;3463.36;4885.42;3463.36;4885.42;3118.5;3463.36;3118.5;2874.2;3463.36;3463.36;3463.36;321.5;3118.5;3463.36;3463.36;375.47;221.37;379.08;3463.36;416.87;301.62;416.87;416.87;3463.36;3463.36;3463.36;416.87;3463.36;3118.5;3463.36;3380.9;3463.36;3118.5;3463.36;3118.5;380.98;3463.36;3463.36;3463.36;2046;3118.5;3463.36;3463.36;3118.5;3463.36;3463.36;3118.5;256.57;380.98;3463.36;3118.5;5375.42;3463.36;3463.36;3118.5;3118.5;3463.36;3463.36;3118.5;3463.36;315.33;2046;3463.36;174.89;3463.36;3118.5;3463.36;3463.36;416.87;416.87;2874.2;3463.36;3463.36;3118.5;3463.36;3463.36;380.98;3118.5;325.2;342.75;3463.36;416.87;3463.36;5641.3;3118.5;3463.36;3118.5;3516.23;3463.36;3118.5;3463.36;3463.36;3118.5;3118.5;3463.36;4885.42;3463.36;3463.36;416.87;3118.5;3463.36;3118.5;3463.36;416.87;4885.42;1451.9;3118.5;2874.2;3463.36;3118.5;3118.5;3118.5;3118.5;4885.42;3463.36;3463.36;3463.36;3463.36;3463.36;3463.36;3463.36
458;256.57;2776.79;3463.36;3118.5;3118.5;416.87;416.87;3463.36;2946.1;3463.36;267.92;3463.36;3118.5;416.87;416.87;3118.5;3118.5;235.01;3463.36;416.87;3463.36;3463.36;3463.36;3463.36;3118.5;3118.5;3118.5;2946.1;3118.5;3463.36;3463.36;416.87;3118.5;2050.4;3463.36;4393.65;3463.36;320.6;3463.36;3118.5;2946.1;3463.36;3118.5;3118.5;3118.5;3118.5;3463.36;380.98;317.39;267.92;4895.05;320.6;3118.5;3118.5;3463.36;3118.5;379.91;3463.36;3463.36;155.59;3463.36;380.98;3463.36;3463.36;416.87;256.57;3463.36;267.92;3118.5;416.87;3463.36;999.68;3463.36;208.49;2050.4;3463.36;3463.36;3118.5;3463.36;380.98;3118.5;3118.5;3463.36;3463.36;3118.5;3118.5;377.75;3118.5;343.5;3118.5;325.18;3463.36;3118.5;3463.36;3463.36;380.98;267.92;265.64;3118.5;3463.36;3118.5;3463.36;3463.36;4895.05;3463.36;4895.05;3118.5;3463.36;3118.5;2880.4;3463.36;3463.36;3463.36;322.2;3118.5;3463.36;3463.36;375.47;221.37;379.91;3463.36;416.87;302.28;416.87;416.87;3463.36;3463.36;3463.36;416.87;3463.36;3118.5;3463.36;3388.2;3463.36;3118.5;3463.36;3118.5;380.98;3463.36;3463.36;3463.36;2050.4;3118.5;3463.36;3463.36;3118.5;3463.36;3463.36;3118.5;256.57;380.98;3463.36;3118.5;5380.51;3463.36;3463.36;3118.5;3118.5;3463.36;3463.36;3118.5;3463.36;316.02;2050.4;3463.36;175.27;3463.36;3118.5;3463.36;3463.36;416.87;416.87;2880.4;3463.36;3463.36;3118.5;3463.36;3463.36;380.98;3118.5;325.2;343.5;3463.36;416.87;3463.36;5646.63;3118.5;3463.36;3118.5;3519.55;3463.36;3118.5;3463.36;3463.36;3118.5;3118.5;3463.36;4895.05;3463.36;3463.36;416.87;3118.5;3463.36;3118.5;3463.36;416.87;4895.05;1455;3118.5;2880.4;3463.36;3118.5;3118.5;3118.5;3118.5;4895.05;3463.36;3463.36;3463.36;3463.36;3463.36;3463.36;3463.36
459;256.57;2776.79;3463.36;3118.5;3118.5;416.87;416.87;3463.36;2946.1;3463.36;267.92;3463.36;3118.5;416.87;416.87;3118.5;3118.5;235.01;3463.36;416.87;3463.36;3463.36;3463.36;3463.36;3118.5;3118.5;3118.5;2946.1;3118.5;3463.36;3463.36;416.87;3118.5;2054.8;3463.36;4402.33;3463.36;321.3;3463.36;3118.5;2946.1;3463.36;3118.5;3118.5;3118.5;3118.5;3463.36;380.98;318.09;267.92;4904.67;321.3;3118.5;3118.5;3463.36;3118.5;380.74;3463.36;3463.36;155.93;3463.36;380.98;3463.36;3463.36;416.87;256.57;3463.36;267.92;3118.5;416.87;3463.36;1001.63;3463.36;208.49;2054.8;3463.36;3463.36;3118.5;3463.36;380.98;3118.5;3118.5;3463.36;3463.36;3118.5;3118.5;377.75;3118.5;344.25;3118.5;325.89;3463.36;3118.5;3463.36;3463.36;380.98;267.92;266.22;3118.5;3463.36;3118.5;3463.36;3463.36;4904.67;3463.36;4904.67;3118.5;3463.36;3118.5;2886.6;3463.36;3463.36;3463.36;322.91;3118.5;3463.36;3463.36;375.47;221.37;380.74;3463.36;416.87;302.94;416.87;416.87;3463.36;3463.36;3463.36;416.87;3463.36;3118.5;3463.36;3395.5;3463.36;3118.5;3463.36;3118.5;380.98;3463.36;3463.36;3463.36;2054.8;3118.5;3463.36;3463.36;3118.5;3463.36;3463.36;3118.5;256.57;380.98;3463.36;3118.5;5385.59;3463.36;3463.36;3118.5;3118.5;3463.36;3463.36;3118.5;3463.36;316.71;2054.8;3463.36;175.64;3463.36;3118.5;3463.36;3463.36;416.87;416.87;2886.6;3463.36;3463.36;3118.5;3463.36;3463.36;380.98;3118.5;325.2;344.25;3463.36;416.87;3463.36;5651.97;3118.5;3463.36;3118.5;3522.88;3463.36;3118.5;3463.36;3463.36;3118.5;3118.5;3463.36;4904.67;3463.36;3463.36;416.87;3118.5;3463.36;3118.5;3463.36;416.87;4904.67;1458.1;3118.5;2886.6;3463.36;3118.5;3118.5;3118.5;3118.5;4904.67;3463.36;3463.36;3463.36;3463.36;3463.36;3463.36;3463.36
460;256.57;2776.79;3463.36;3118.5;3118.5;416.87;416.87;3463.36;2946.1;3463.36;267.92;3463.36;3118.5;416.87;416.87;3118.5;3118.5;235.01;3463.36;416.87;3463.36;3463.36;3463.36;3463.36;3118.5;3118.5;3118.5;2946.1;3118.5;3463.36;3463.36;416.87;3118.5;2059.2;3463.36;4411;3463.36;322;3463.36;3118.5;2946.1;3463.36;3118.5;3118.5;3118.5;3118.5;3463.36;380.98;318.78;267.92;4914.3;322;3118.5;3118.5;3463.36;3118.5;381.57;3463.36;3463.36;156.27;3463.36;380.98;3463.36;3463.36;416.87;256.57;3463.36;267.92;3118.5;416.87;3463.36;1003.58;3463.36;208.49;2059.2;3463.36;3463.36;3118.5;3463.36;380.98;3118.5;3118.5;3463.36;3463.36;3118.5;3118.5;377.75;3118.5;345;3118.5;326.6;3463.36;3118.5;3463.36;3463.36;380.98;267.92;266.8;3118.5;3463.36;3118.5;3463.36;3463.36;4914.3;3463.36;4914.3;3118.5;3463.36;3118.5;2892.8;3463.36;3463.36;3463.36;323.61;3118.5;3463.36;3463.36;375.47;221.37;381.57;3463.36;416.87;303.6;416.87;416.87;3463.36;3463.36;3463.36;416.87;3463.36;3118.5;3463.36;3402.8;3463.36;3118.5;3463.36;3118.5;380.98;3463.36;3463.36;3463.36;2059.2;3118.5;3463.36;3463.36;3118.5;3463.36;3463.36;3118.5;256.57;380.98;3463.36;3118.5;5390.68;3463.36;3463.36;3118.5;3118.5;3463.36;3463.36;3118.5;3463.36;317.4;2059.2;3463.36;176.02;3463.36;3118.5;3463.36;3463.36;416.87;416.87;2892.8;3463.36;3463.36;3118.5;3463.36;3463.36;380.98;3118.5;325.2;345;3463.36;416.87;3463.36;5657.31;3118.5;3463.36;3118.5;3526.21;3463.36;3118.5;3463.36;3463.36;3118.5;3118.5;3463.36;4914.3;3463.36;3463.36;416.87;3118.5;3463.36;3118.5;3463.36;416.87;4914.3;1461.2;3118.5;2892.8;3463.36;3118.5;3118.5;3118.5;3118.5;4914.3;3463.36;3463.36;3463.36;3463.36;3463.36;3463.36;3463.36
461;256.57;2776.79;3463.36;3118.5;3118.5;416.87;416.87;3463.36;2946.1;3463.36;267.92;3463.36;3118.5;416.87;416.87;3118.5;3118.5;235.01;3463.36;416.87;3463.36;3463.36;3463.36;3463.36;3118.5;3118.5;3118.5;2946.1;3118.5;3463.36;3463.36;416.87;3118.5;2063.6;3463.36;4419.68;3463.36;322.7;3463.36;3118.5;2946.1;3463.36;3118.5;3118.5;3118.5;3118.5;3463.36;380.98;319.47;267.92;4923.92;322.7;3118.5;3118.5;3463.36;3118.5;382.4;3463.36;3463.36;156.61;3463.36;380.98;3463.36;3463.36;416.87;256.57;3463.36;267.92;3118.5;416.87;3463.36;1005.53;3463.36;208.49;2063.6;3463.36;3463.36;3118.5;3463.36;380.98;3118.5;3118.5;3463.36;3463.36;3118.5;3118.5;377.75;3118.5;345.75;3118.5;327.31;3463.36;3118.5;3463.36;3463.36;380.98;267.92;267.38;3118.5;3463.36;3118.5;3463.36;3463.36;4923.92;3463.36;4923.92;3118.5;3463.36;3118.5;2899;3463.36;3463.36;3463.36;324.31;3118.5;3463.36;3463.36;375.47;221.37;382.4;3463.36;416.87;304.26;416.87;416.87;3463.36;3463.36;3463.36;416.87;3463.36;3118.5;3463.36;3410.1;3463.36;3118.5;3463.36;3118.5;380.98;3463.36;3463.36;3463.36;2063.6;3118.5;3463.36;3463.36;3118.5;3463.36;3463.36;3118.5;256.57;380.98;3463.36;3118.5;5395.76;3463.36;3463.36;3118.5;3118.5;3463.36;3463.36;3118.5;3463.36;318.09;2063.6;3463.36;176.39;3463.36;3118.5;3463.36;3463.36;416.87;416.87;2899;3463.36;3463.36;3118.5;3463.36;3463.36;380.98;3118.5;325.2;345.75;3463.36;416.87;3463.36;5662.65;3118.5;3463.36;3118.5;3529.53;3463.36;3118.5;3463.36;3463.36;3118.5;3118.5;3463.36;4923.92;3463.36;3463.36;416.87;3118.5;3463.36;3118.5;3463.36;416.87;4923.92;1464.3;3118.5;2899;3463.36;3118.5;3118.5;3118.5;3118.5;4923.92;3463.36;3463.36;3463.36;3463.36;3463.36;3463.36;3463.36
462;256.57;2776.79;3463.36;3118.5;3118.5;416.87;416.87;3463.36;2946.1;3463.36;267.92;3463.36;3118.5;416.87;416.87;3118.5;3118.5;235.01;3463.36;416.87;3463.36;3463.36;3463.36;3463.36;3118.5;3118.5;3118.5;2946.1;3118.5;3463.36;3463.36;416.87;3118.5;2068;3463.36;4428.36;3463.36;323.4;3463.36;3118.5;2946.1;3463.36;3118.5;3118.5;3118.5;3118.5;3463.36;380.98;320.17;267.92;4933.55;323.4;3118.5;3118.5;3463.36;3118.5;383.23;3463.36;3463.36;156.95;3463.36;380.98;3463.36;3463.36;416.87;256.57;3463.36;267.92;3118.5;416.87;3463.36;1007.47;3463.36;208.49;2068;3463.36;3463.36;3118.5;3463.36;380.98;3118.5;3118.5;3463.36;3463.36;3118.5;3118.5;377.75;3118.5;346.5;3118.5;328.02;3463.36;3118.5;3463.36;3463.36;380.98;267.92;267.96;3118.5;3463.36;3118.5;3463.36;3463.36;4933.55;3463.36;4933.55;3118.5;3463.36;3118.5;2905.2;3463.36;3463.36;3463.36;325.02;3118.5;3463.36;3463.36;375.47;221.37;383.23;3463.36;416.87;304.92;416.87;416.87;3463.36;3463.36;3463.36;416.87;3463.36;3118.5;3463.36;3417.4;3463.36;3118.5;3463.36;3118.5;380.98;3463.36;3463.36;3463.36;2068;3118.5;3463.36;3463.36;3118.5;3463.36;3463.36;3118.5;256.57;380.98;3463.36;3118.5;5400.85;3463.36;3463.36;3118.5;3118.5;3463.36;3463.36;3118.5;3463.36;318.78;2068;3463.36;176.76;3463.36;3118.5;3463.36;3463.36;416.87;416.87;2905.2;3463.36;3463.36;3118.5;3463.36;3463.36;380.98;3118.5;325.2;346.5;3463.36;416.87;3463.36;5667.98;3118.5;3463.36;3118.5;3532.86;3463.36;3118.5;3463.36;3463.36;3118.5;3118.5;3463.36;4933.55;3463.36;3463.36;416.87;3118.5;3463.36;3118.5;3463.36;416.87;4933.55;1467.4;3118.5;2905.2;3463.36;3118.5;3118.5;3118.5;3118.5;4933.55;3463.36;3463.36;3463.36;3463.36;3463.36;3463.36;3463.36
463;256.57;2776.79;3463.36;3118.5;3118.5;416.87;416.87;3463.36;2946.1;3463.36;267.92;3463.36;3118.5;416.87;416.87;3118.5;3118.5;235.01;3463.36;416.87;3463.36;3463.36;3463.36;3463.36;3118.5;3118.5;3118.5;2946.1;3118.5;3463.36;3463.36;416.87;3118.5;2072.4;3463.36;4437.03;3463.36;324.1;3463.36;3118.5;2946.1;3463.36;3118.5;3118.5;3118.5;3118.5;3463.36;380.98;320.86;267.92;4943.17;324.1;3118.5;3118.5;3463.36;3118.5;384.06;3463.36;3463.36;157.29;3463.36;380.98;3463.36;3463.36;416.87;256.57;3463.36;267.92;3118.5;416.87;3463.36;1009.42;3463.36;208.49;2072.4;3463.36;3463.36;3118.5;3463.36;380.98;3118.5;3118.5;3463.36;3463.36;3118.5;3118.5;377.75;3118.5;347.25;3118.5;328.73;3463.36;3118.5;3463.36;3463.36;380.98;267.92;268.54;3118.5;3463.36;3118.5;3463.36;3463.36;4943.17;3463.36;4943.17;3118.5;3463.36;3118.5;2911.4;3463.36;3463.36;3463.36;325.72;3118.5;3463.36;3463.36;375.47;221.37;383.83;3463.36;416.87;305.58;416.87;416.87;3463.36;3463.36;3463.36;416.87;3463.36;3118.5;3463.36;3424.7;3463.36;3118.5;3463.36;3118.5;380.98;3463.36;3463.36;3463.36;2072.4;3118.5;3463.36;3463.36;3118.5;3463.36;3463.36;3118.5;256.57;380.98;3463.36;3118.5;5405.93;3463.36;3463.36;3118.5;3118.5;3463.36;3463.36;3118.5;3463.36;319.47;2072.4;3463.36;177.14;3463.36;3118.5;3463.36;3463.36;416.87;416.87;2911.4;3463.36;3463.36;3118.5;3463.36;3463.36;380.98;3118.5;325.2;347.25;3463.36;416.87;3463.36;5673.32;3118.5;3463.36;3118.5;3536.19;3463.36;3118.5;3463.36;3463.36;3118.5;3118.5;3463.36;4943.17;3463.36;3463.36;416.87;3118.5;3463.36;3118.5;3463.36;416.87;4943.17;1470.5;3118.5;2911.4;3463.36;3118.5;3118.5;3118.5;3118.5;4943.17;3463.36;3463.36;3463.36;3463.36;3463.36;3463.36;3463.36
464;256.57;2776.79;3463.36;3118.5;3118.5;416.87;416.87;3463.36;2946.1;3463.36;267.92;3463.36;3118.5;416.87;416.87;3118.5;3118.5;235.01;3463.36;416.87;3463.36;3463.36;3463.36;3463.36;3118.5;3118.5;3118.5;2946.1;3118.5;3463.36;3463.36;416.87;3118.5;2076.8;3463.36;4445.71;3463.36;324.8;3463.36;3118.5;2946.1;3463.36;3118.5;3118.5;3118.5;3118.5;3463.36;380.98;321.55;267.92;4952.8;324.8;3118.5;3118.5;3463.36;3118.5;384.89;3463.36;3463.36;157.63;3463.36;380.98;3463.36;3463.36;416.87;256.57;3463.36;267.92;3118.5;416.87;3463.36;1011.37;3463.36;208.49;2076.8;3463.36;3463.36;3118.5;3463.36;380.98;3118.5;3118.5;3463.36;3463.36;3118.5;3118.5;377.75;3118.5;348;3118.5;329.44;3463.36;3118.5;3463.36;3463.36;380.98;267.92;269.12;3118.5;3463.36;3118.5;3463.36;3463.36;4952.8;3463.36;4952.8;3118.5;3463.36;3118.5;2917.6;3463.36;3463.36;3463.36;326.42;3118.5;3463.36;3463.36;375.47;221.37;383.83;3463.36;416.87;306.24;416.87;416.87;3463.36;3463.36;3463.36;416.87;3463.36;3118.5;3463.36;3432;3463.36;3118.5;3463.36;3118.5;380.98;3463.36;3463.36;3463.36;2076.8;3118.5;3463.36;3463.36;3118.5;3463.36;3463.36;3118.5;256.57;380.98;3463.36;3118.5;5411.02;3463.36;3463.36;3118.5;3118.5;3463.36;3463.36;3118.5;3463.36;320.16;2076.8;3463.36;177.51;3463.36;3118.5;3463.36;3463.36;416.87;416.87;2917.6;3463.36;3463.36;3118.5;3463.36;3463.36;380.98;3118.5;325.2;348;3463.36;416.87;3463.36;5678.66;3118.5;3463.36;3118.5;3539.51;3463.36;3118.5;3463.36;3463.36;3118.5;3118.5;3463.36;4952.8;3463.36;3463.36;416.87;3118.5;3463.36;3118.5;3463.36;416.87;4952.8;1473.6;3118.5;2917.6;3463.36;3118.5;3118.5;3118.5;3118.5;4952.8;3463.36;3463.36;3463.36;3463.36;3463.36;3463.36;3463.36
465;256.57;2776.79;3463.36;3118.5;3118.5;416.87;416.87;3463.36;2946.1;3463.36;267.92;3463.36;3118.5;416.87;416.87;3118.5;3118.5;235.01;3463.36;416.87;3463.36;3463.36;3463.36;3463.36;3118.5;3118.5;3118.5;2946.1;3118.5;3463.36;3463.36;416.87;3118.5;2081.2;3463.36;4454.38;3463.36;325.5;3463.36;3118.5;2946.1;3463.36;3118.5;3118.5;3118.5;3118.5;3463.36;380.98;322.25;267.92;4962.42;325.5;3118.5;3118.5;3463.36;3118.5;385.72;3463.36;3463.36;157.97;3463.36;380.98;3463.36;3463.36;416.87;256.57;3463.36;267.92;3118.5;416.87;3463.36;1013.31;3463.36;208.49;2081.2;3463.36;3463.36;3118.5;3463.36;380.98;3118.5;3118.5;3463.36;3463.36;3118.5;3118.5;377.75;3118.5;348.75;3118.5;330.15;3463.36;3118.5;3463.36;3463.36;380.98;267.92;269.7;3118.5;3463.36;3118.5;3463.36;3463.36;4962.42;3463.36;4962.42;3118.5;3463.36;3118.5;2923.8;3463.36;3463.36;3463.36;327.13;3118.5;3463.36;3463.36;375.47;221.37;383.83;3463.36;416.87;306.9;416.87;416.87;3463.36;3463.36;3463.36;416.87;3463.36;3118.5;3463.36;3439.3;3463.36;3118.5;3463.36;3118.5;380.98;3463.36;3463.36;3463.36;2081.2;3118.5;3463.36;3463.36;3118.5;3463.36;3463.36;3118.5;256.57;380.98;3463.36;3118.5;5416.11;3463.36;3463.36;3118.5;3118.5;3463.36;3463.36;3118.5;3463.36;320.85;2081.2;3463.36;177.89;3463.36;3118.5;3463.36;3463.36;416.87;416.87;2923.8;3463.36;3463.36;3118.5;3463.36;3463.36;380.98;3118.5;325.2;348.75;3463.36;416.87;3463.36;5683.99;3118.5;3463.36;3118.5;3542.84;3463.36;3118.5;3463.36;3463.36;3118.5;3118.5;3463.36;4962.42;3463.36;3463.36;416.87;3118.5;3463.36;3118.5;3463.36;416.87;4962.42;1476.7;3118.5;2923.8;3463.36;3118.5;3118.5;3118.5;3118.5;4962.42;3463.36;3463.36;3463.36;3463.36;3463.36;3463.36;3463.36
466;256.57;2776.79;3463.36;3118.5;3118.5;416.87;416.87;3463.36;2946.1;3463.36;267.92;3463.36;3118.5;416.87;416.87;3118.5;3118.5;235.01;3463.36;416.87;3463.36;3463.36;3463.36;3463.36;3118.5;3118.5;3118.5;2946.1;3118.5;3463.36;3463.36;416.87;3118.5;2085.6;3463.36;4463.06;3463.36;326.2;3463.36;3118.5;2946.1;3463.36;3118.5;3118.5;3118.5;3118.5;3463.36;380.98;322.94;267.92;4972.05;326.2;3118.5;3118.5;3463.36;3118.5;386.55;3463.36;3463.36;158.31;3463.36;380.98;3463.36;3463.36;416.87;256.57;3463.36;267.92;3118.5;416.87;3463.36;1015.26;3463.36;208.49;2085.6;3463.36;3463.36;3118.5;3463.36;380.98;3118.5;3118.5;3463.36;3463.36;3118.5;3118.5;377.75;3118.5;349.5;3118.5;330.86;3463.36;3118.5;3463.36;3463.36;380.98;267.92;270.28;3118.5;3463.36;3118.5;3463.36;3463.36;4972.05;3463.36;4972.05;3118.5;3463.36;3118.5;2930;3463.36;3463.36;3463.36;327.83;3118.5;3463.36;3463.36;375.47;221.37;383.83;3463.36;416.87;307.56;416.87;416.87;3463.36;3463.36;3463.36;416.87;3463.36;3118.5;3463.36;3446.6;3463.36;3118.5;3463.36;3118.5;380.98;3463.36;3463.36;3463.36;2085.6;3118.5;3463.36;3463.36;3118.5;3463.36;3463.36;3118.5;256.57;380.98;3463.36;3118.5;5421.19;3463.36;3463.36;3118.5;3118.5;3463.36;3463.36;3118.5;3463.36;321.54;2085.6;3463.36;178.26;3463.36;3118.5;3463.36;3463.36;416.87;416.87;2930;3463.36;3463.36;3118.5;3463.36;3463.36;380.98;3118.5;325.2;349.5;3463.36;416.87;3463.36;5689.33;3118.5;3463.36;3118.5;3546.16;3463.36;3118.5;3463.36;3463.36;3118.5;3118.5;3463.36;4972.05;3463.36;3463.36;416.87;3118.5;3463.36;3118.5;3463.36;416.87;4972.05;1479.8;3118.5;2930;3463.36;3118.5;3118.5;3118.5;3118.5;4972.05;3463.36;3463.36;3463.36;3463.36;3463.36;3463.36;3463.36
